"Date","Days","Open","High","Low","Settle"
636249600000,0,247.75,248.75,246,246.25
636336000000,1,246,246.25,245.25,245.75
636595200000,4,245.5,245.5,244.5,244.75
636681600000,5,244.5,245.5,243.75,244
636768000000,6,243.75,244.5,242.5,243
636854400000,7,243.25,243.25,241.75,242.75
636940800000,8,243.25,244.5,242.5,243.25
637200000000,11,243,247,242.25,247
637286400000,12,246,246.5,243.5,243.75
637372800000,13,243,244.25,242.25,243.75
637459200000,14,243.25,247,243.25,247
637545600000,15,247.5,248,246.25,247.75
637804800000,18,247.75,251,247.75,251
637891200000,19,251.75,253.5,250,253
637977600000,20,252.5,253,248.5,250
638064000000,21,257.5,260.75,256.75,258.75
638150400000,22,258,258.75,257.25,258.5
638409600000,25,257.75,261.5,257.25,260.75
638496000000,26,261,261.75,260.5,261.25
638582400000,27,260.75,261.25,258.75,259.25
638668800000,28,260,260.5,258.25,260
638755200000,29,260.25,261.5,260,261.25
639014400000,32,263,264.75,262.25,263.5
639100800000,33,263.5,266.5,262.75,266.5
639187200000,34,267.25,269,266.5,268.25
639273600000,35,268,270.25,267.5,270.25
639360000000,36,271.5,273,268,269.25
639619200000,39,269,270.25,268.25,269.5
639705600000,40,269.75,273,269.25,272.75
639792000000,41,274,274,270.5,271.25
639878400000,42,270.75,270.75,268.75,269.5
640224000000,46,268.75,272.5,267.5,272.25
640310400000,47,272,275,271.5,274
640396800000,48,274.5,275.5,273.5,273.75
640483200000,49,273.25,277.5,272.75,277
640569600000,50,277,279,276.25,277.25
640828800000,53,277,279.25,276.25,278
640915200000,54,277.25,277.5,275.5,276
641001600000,55,275.75,279,275.5,278.75
641088000000,56,279,281,277.75,280.75
641174400000,57,279.75,283,279,280
641433600000,60,280,281.5,278.75,281.25
641520000000,61,281.5,289.25,279.75,283.75
641606400000,62,284,288,282.75,287.75
641692800000,63,287.25,287.75,284,285.5
641779200000,64,288,288.5,285.5,287.25
642038400000,67,287.25,293,286.25,290.75
642124800000,68,292,292.25,288,289
642211200000,69,288.5,290.75,287.5,290
642297600000,70,290.75,291.25,288.25,289.25
642384000000,71,288.5,291.5,285,287.5
642643200000,74,287,291,286,289.75
642729600000,75,289.5,290,283.75,284.75
642816000000,76,284,284.25,281.5,282.5
642902400000,77,284,286.75,282.75,286.75
642988800000,78,287.75,288,283,283.75
643248000000,81,282.5,282.5,278.5,280
643334400000,82,277,278.25,274.25,274.75
643420800000,83,274,277,273.5,276.25
643507200000,84,277,281.25,277,280.5
643593600000,85,282,284.5,281.5,284
643939200000,89,285.5,286.5,282.5,284.25
644025600000,90,283.75,284,279.25,279.5
644112000000,91,278.25,279,275.5,278
644198400000,92,278.5,279,275.25,275.75
644457600000,95,274.5,274.5,271,273.75
644544000000,96,274.5,278.5,274.5,278.25
644630400000,97,279.25,282,278.5,279.75
644716800000,98,281,286,281,285.5
644803200000,99,289.5,290,284,284.75
645062400000,102,283,290,281.5,289.75
645148800000,103,290.25,292.75,289.75,292.25
645235200000,104,292.75,293.5,289.25,290.25
645321600000,105,288.75,288.75,282.5,287
645408000000,106,286.75,287.25,282,283
645667200000,109,281.75,287,280.5,286.5
645753600000,110,287.5,287.5,282.75,286.5
645840000000,111,288,289.75,284.5,285.25
645926400000,112,283.5,286,283.25,285
646012800000,113,285,285,281.5,282
646272000000,116,281,288,281,287
646358400000,117,285,286.5,284.5,285.75
646444800000,118,286,290,286,287
646531200000,119,287,298,287,295.25
646617600000,120,294,297,293,295.5
646876800000,123,297,302.25,295.25,296.25
646963200000,124,296,296.25,292.75,294.25
647136000000,126,290,290,285.25,286
647222400000,127,286,286,279.5,280
647481600000,130,280,281.5,277.5,280.75
647568000000,131,281,283.5,280,282.75
647654400000,132,282.5,282.5,278,279.75
647740800000,133,279,279.5,276,276.5
647827200000,134,279,279.5,277,279
648086400000,137,278,278,273.25,273.5
648172800000,138,272.5,277,272.5,273.5
648259200000,139,277,277,271.5,272
648345600000,140,273,273.5,267,268.75
648432000000,141,268.25,272.5,267,268.75
648691200000,144,258.5,264.5,255,264
648777600000,145,265.5,265.5,261,261.5
648864000000,146,261.5,262.5,260.25,260.75
648950400000,147,260.5,263.75,259.25,263.5
649036800000,148,266,266,261.25,262.5
649296000000,151,260.75,261.75,259.5,261
649382400000,152,261.75,262.75,259.25,260.25
649468800000,153,260.5,260.5,255.25,255.5
649555200000,154,255,256.5,252.5,252.75
649641600000,155,252,253.75,249.25,249.5
649900800000,158,248,254.5,248,254.25
649987200000,159,254.5,254.75,252.25,254
650073600000,160,253.75,253.75,251.75,252.25
650160000000,161,251.5,252.25,250,250.25
650246400000,162,252.5,254,249.75,250.25
650505600000,165,249.5,249.5,244,245.25
650592000000,166,244.25,245.5,243.75,245.5
650678400000,167,246.25,247.75,244.5,247.5
650764800000,168,248,250,247.5,249
650851200000,169,248.75,254,247.75,250.75
651110400000,172,251,254,251,252.25
651196800000,173,252,253.75,250.25,251.75
651283200000,174,252.5,254.75,251.5,253.75
651369600000,175,255,260,255,259
651456000000,176,258,260,257.25,257.75
651715200000,179,256,256.5,251.5,252
651801600000,180,251,254,251,253.75
651888000000,181,254.75,255.5,249.75,250
651974400000,182,249.25,249.5,245,245.25
652060800000,183,246,248,241.5,243.25
652406400000,187,243,243,239.5,240.75
652492800000,188,241.75,243.75,241.5,243.25
652579200000,189,244.5,244.5,241.75,243
652665600000,190,242,242,238.5,238.75
652924800000,193,237,240.5,235,239.5
653011200000,194,240,241.5,239,241.5
653097600000,195,240.75,241.5,238.75,239.25
653184000000,196,233,234,231.75,233.25
653270400000,197,233,233.5,231.75,232.75
653529600000,200,233.75,235.75,232.25,235.75
653616000000,201,236.25,237.75,236,237
653702400000,202,237,237,232.5,234.25
653788800000,203,221.5,226.5,221.5,223.75
653875200000,204,223,226.25,223,225.75
654134400000,207,224.5,228.75,222.5,228.75
654220800000,208,229,230,226.75,227.75
654307200000,209,227,229,226,228.25
654393600000,210,228.25,228.75,227.25,227.5
654480000000,211,227.5,228.25,227,228
654739200000,214,226.75,226.75,222.75,223
654825600000,215,223,226.25,222.75,225.25
654912000000,216,226.25,232,226.25,229
654998400000,217,229,231.5,229,230.75
655084800000,218,230.5,233.25,228.5,228.75
655344000000,221,229.75,234.25,229.25,234
655430400000,222,233.5,235,232.25,234.25
655516800000,223,233.75,236.5,232,235.5
655603200000,224,234.5,235.25,232.5,232.75
655689600000,225,234.5,234.75,230,230.25
655948800000,228,228.5,229.25,227,228
656035200000,229,228,229.25,226.5,226.75
656121600000,230,227,229.5,226.5,228.75
656208000000,231,229.5,229.75,227.75,228
