"Date","Days","Open","High","Low","Settle"
888796800000,0,8655,8670,8610,8643
888883200000,1,8590,8695,8590,8692
888969600000,2,8653,8660,8590,8623
889056000000,3,8515,8593,8490,8552
889142400000,4,8575,8675,8570,8671
889401600000,7,8640,8725,8628,8664
889488000000,8,8700,8749,8683,8738
889574400000,9,8755,8785,8740,8767
889660800000,10,8770,8772,8695,8759
889747200000,11,8795,8799,8674,8683
890006400000,14,8715,8809,8696,8805
890092800000,15,8813,8840,8772,8836
890179200000,16,8800,8861,8790,8855
890265600000,17,8855,8888,8840,8883
890352000000,18,9000,9079,8984,9062
890611200000,21,9037,9050,8990,8997
890697600000,22,9020,9100,9020,9085
890784000000,23,9160,9160,8975,9031
890870400000,24,9000,9032,9000,9005
890956800000,25,9060,9060,8950,8969
891216000000,28,8950,8990,8935,8954
891302400000,29,8973,9060,8950,8956
891388800000,30,8980,9050,8918,9029
891475200000,31,9019,9153,9019,9150
891561600000,32,9180,9180,9130,9148
891820800000,35,9195,9245,9166,9166
891907200000,36,9138,9138,9075,9112
891993600000,37,9125,9125,9040,9052
892080000000,38,9103,9160,9100,9160
892425600000,42,9190,9190,9095,9161
892512000000,43,9177,9273,9165,9269
892598400000,44,9270,9325,9255,9314
892684800000,45,9268,9268,9205,9220
892771200000,46,9200,9320,9200,9315
893030400000,49,9305,9311,9250,9281
893116800000,50,9282,9345,9250,9337
893203200000,51,9325,9345,9318,9323
893289600000,52,9283,9340,9270,9276
893376000000,53,9254,9290,9150,9180
893635200000,56,9085,9090,8980,9068
893721600000,57,9130,9135,9010,9033
893808000000,58,9043,9127,9025,9078
893894400000,59,9185,9250,9150,9212
893980800000,60,9225,9305,9212,9296
894240000000,63,9310,9390,9310,9319
894326400000,64,9282,9305,9245,9284
894412800000,65,9295,9295,9159,9159
894499200000,66,9175,9182,9090,9097
894585600000,67,9095,9219,9095,9219
894844800000,70,9230,9290,9192,9217
894931200000,71,9200,9310,9185,9305
895017600000,72,9318,9350,9298,9344
895104000000,73,9295,9340,9258,9282
895190400000,74,9295,9300,9202,9202
895449600000,77,9190,9245,9125,9170
895536000000,78,9220,9238,9155,9180
895622400000,79,9230,9300,9180,9300
895708800000,80,9305,9310,9230,9242
895795200000,81,9262,9262,9210,9237
896140800000,85,9275,9290,9068,9075
896227200000,86,9005,9083,8890,9070
896313600000,87,9048,9110,9018,9097
896400000000,88,9117,9145,8985,8988
896659200000,91,8945,9080,8945,9041
896745600000,92,9061,9085,8975,8996
896832000000,93,9020,9033,8859,8859
896918400000,94,8885,8985,8840,8984
897004800000,95,8977,9170,8970,9161
897264000000,98,9166,9211,9137,9173
897350400000,99,9161,9185,9120,9158
897436800000,100,9118,9192,9040,9055
897523200000,101,9035,9095,8875,8893
897609600000,102,8905,8945,8765,8940
897868800000,105,8830,8870,8665,8680
897955200000,106,8770,8773,8660,8757
898041600000,107,8855,8990,8825,8938
898128000000,108,8935,8944,8872,8895
898214400000,109,9010,9015,8875,8882
898473600000,112,8893,8925,8855,8889
898560000000,113,8910,9003,8910,9003
898646400000,114,9005,9110,8960,9101
898732800000,115,9140,9195,9080,9126
898819200000,116,9122,9155,9106,9139
899078400000,119,9170,9225,9160,9189
899164800000,120,9175,9175,9095,9120
899251200000,121,9190,9220,9152,9216
899337600000,122,9190,9200,9175,9195
899683200000,126,9180,9284,9180,9282
899769600000,127,9285,9325,9240,9272
899856000000,128,9268,9350,9268,9350
899942400000,129,9350,9350,9240,9245
900028800000,130,9262,9277,9200,9277
900288000000,133,9300,9300,9225,9240
900374400000,134,9291,9412,9291,9402
900460800000,135,9404,9462,9399,9399
900547200000,136,9410,9495,9365,9488
900633600000,137,9485,9515,9471,9488
900892800000,140,9495,9505,9425,9461
