"Date","Days","Open","High","Low","Settle"
667785600000,0,371.8,373.2,370.8,372
668044800000,3,371,373.4,370.1,372.9
668131200000,4,368.9,371.2,368.7,369.7
668217600000,5,368.7,376,368.5,370.9
668304000000,6,371.3,372.5,370.3,371.8
668390400000,7,371.5,375.8,371.5,374.3
668649600000,10,374,374.3,368.2,369.2
668736000000,11,367.5,370,367.5,369.2
668822400000,12,369.5,372.8,369.5,371.1
668908800000,13,370,370.5,368.5,369.2
668995200000,14,367.5,371,367.5,368.8
669254400000,17,366,367.6,364.8,366.6
669340800000,18,365.3,371,365.3,367.5
669427200000,19,368.3,369.5,366.3,366.6
669513600000,20,365.7,367.9,363.3,366.4
669600000000,21,367,367.5,366,366.2
669859200000,24,364,364.7,360.9,361.9
669945600000,25,362,362.5,358.8,360.1
670032000000,26,358,359.8,356.6,358.4
670118400000,27,357.8,359.7,357.8,359.4
670464000000,31,359.1,362.7,359.1,362.4
670550400000,32,359.8,361.6,359.8,360.5
670636800000,33,362.6,363.4,361.8,362.2
670723200000,34,361.3,362.7,361.3,361.7
670809600000,35,361.3,363,359.3,362.1
671068800000,38,362.1,364.7,361.9,364
671155200000,39,364.7,368.2,364.7,367.2
671241600000,40,366.4,367.3,365.7,366.3
671328000000,41,364.5,365.7,364.3,364.8
671414400000,42,365,365.6,361.5,362.7
671673600000,45,363.3,363.7,362.1,363.2
671760000000,46,363.5,364.4,362.7,363.1
671846400000,47,363.9,364.4,363.2,363.7
671932800000,48,364,364.7,359,360.2
672019200000,49,359.2,359.9,358.1,359
672278400000,52,357.9,360.3,357.5,359.7
672364800000,53,359,359.5,356.8,358.9
672451200000,54,358.2,358.7,356.3,358.1
672537600000,55,355.2,356.2,354.6,355.8
672624000000,56,359.2,359.5,358.4,358.5
672883200000,59,356.6,357.3,355.8,357.1
672969600000,60,359,364,359,360.5
673056000000,61,361.2,361.6,360.4,360.5
673142400000,62,359,359.8,358.3,359.5
673228800000,63,361.2,361.3,357.7,358.3
673488000000,66,358.1,360,358,359.6
673574400000,67,360,361.5,360,360.8
673660800000,68,360.2,361.8,360.2,361.2
673747200000,69,361.3,362.1,360.5,362
673833600000,70,360.6,361.3,360.5,361
674092800000,73,361,363.5,361,362.5
674179200000,74,362.5,364.3,361,363.9
674265600000,75,365,365.9,363.1,363.4
674352000000,76,362.7,363.3,358.4,359.6
674438400000,77,358.4,359.4,357.5,358.5
674697600000,80,357.8,361,357.8,360.5
674784000000,81,360,360.6,359.7,360.3
674870400000,82,360.5,361.3,359.3,359.4
674956800000,83,358,359,357.5,358.1
675043200000,84,358.3,359.8,358.3,359.5
675388800000,88,359.2,367.8,357.5,366.7
675475200000,89,365,365.8,364,364.2
675561600000,90,363.2,367.7,362.8,366.5
675648000000,91,364.5,365.2,363.2,364.8
675907200000,94,366.7,367.7,366.2,366.4
675993600000,95,366,366.6,364.5,365.8
676080000000,96,366.1,366.4,365.3,365.7
676166400000,97,366.6,368.8,365.9,368.1
676252800000,98,369.3,371.3,369.3,369.5
676512000000,101,373.3,377.9,373,376.6
676598400000,102,374.4,375.6,373.7,373.9
676684800000,103,373.3,376.6,372.8,373.1
676771200000,104,371.9,373.6,371.6,372.9
676857600000,105,371,372.1,368.4,369.8
677116800000,108,370.2,371.1,369.6,370.8
