"Date","Days","Open","High","Low","Settle"
415324800000,0,150,152.75,150,152.5
415411200000,1,152.3,153.2,151.6,152.55
415497600000,2,153,154.5,152.8,153.25
415584000000,3,152.75,154.1,152.1,153.65
415843200000,6,152.75,153.9,151.8,153.6
415929600000,7,152.9,153.2,151,151.1
416016000000,8,151.5,153.15,151,152.85
416102400000,9,152.8,153.55,150.85,150.95
416188800000,10,151.05,151.55,149.9,151.25
416448000000,13,151.3,152,150.05,151.55
416534400000,14,150.85,151.8,150.7,151.5
416620800000,15,151.1,151.75,149.1,149.2
416707200000,16,149.7,149.8,148.8,149.59
416793600000,17,149.6,150.7,149.2,150.35
417052800000,20,149.8,152.4,149.55,152.3
417139200000,21,152.4,152.4,150.5,151.1
417225600000,22,151.5,155.2,151.25,154.7
417312000000,23,154.35,155.45,153.7,154.85
417398400000,24,154.75,155.2,152.65,153.15
417657600000,27,153.55,153.9,152.4,153.15
417744000000,28,153.75,154.4,152.15,152.3
417830400000,29,152.6,154.7,152.6,154.55
417916800000,30,154.9,156,151.7,151.85
418262400000,34,152.5,153.4,151.85,153.2
418348800000,35,153.7,154.2,151.35,151.75
418435200000,36,152,152.1,149.7,151.35
418521600000,37,151.1,152.05,150.2,151.8
418608000000,38,151.8,152.4,150.6,151.85
418867200000,41,153.25,155.2,153.05,155.1
418953600000,42,154.95,155.7,154.15,155.6
419040000000,43,155.25,157.2,155.25,156.35
419126400000,44,156.7,158.5,155.6,158.4
419212800000,45,157.7,158.9,157.5,158.2
419472000000,48,158,159.4,157.45,159.05
419558400000,49,158.15,158.45,157,157.95
419644800000,50,158.2,160.55,157.85,160.2
419731200000,51,159.5,160.7,159.1,159.75
419817600000,52,159.7,160.5,159.4,159.8
420076800000,55,160.3,160.6,157.75,158.15
420163200000,56,158.15,162.25,157.65,162.15
420249600000,57,162.15,162.8,160.1,161.9
420336000000,58,161.8,163.6,161.35,163.3
420422400000,59,163.4,164.7,162.6,164.25
420681600000,62,164.4,164.55,162.1,163.05
420768000000,63,162.9,163.5,161.8,163.2
420854400000,64,163.55,165.2,162.9,164.2
420940800000,65,163.85,165.1,163.7,164.85
421027200000,66,165,168.35,165,167.5
421286400000,69,166.6,168,165.95,167.1
421372800000,70,167.35,167.9,166.9,167.1
421459200000,71,166.9,167.3,165,166
421545600000,72,165.7,166,164.5,165.15
421632000000,73,165.6,166.7,165.55,165.85
421891200000,76,164.1,164.3,163.1,164.25
421977600000,77,164.2,164.8,163.2,164.55
422064000000,78,164.85,165.8,163,163.05
422150400000,79,163.65,163.8,161.65,162.15
422236800000,80,162.45,162.45,161.1,161.95
422496000000,83,160.5,164.1,160.35,163.95
422582400000,84,163.55,166.35,163.55,166.15
422668800000,85,166.45,167.25,165.1,166.9
422755200000,86,166.75,167.3,165.8,166.15
422841600000,87,166.75,166.9,165.35,165.6
423187200000,91,164.7,165.2,161.75,162.2
423273600000,92,162.2,163.5,161,162.95
423360000000,93,163.65,164.55,162.5,164.45
423446400000,94,164.2,165.6,164.05,164.65
423705600000,97,164.65,165.95,163.65,165.45
423792000000,98,165.05,165.4,161.8,161.9
423878400000,99,162.2,162.55,160.75,160.95
423964800000,100,161.8,162.4,160.35,161.9
424051200000,101,161.65,163,161.65,162.5
424310400000,104,164.1,165.5,162.95,165.35
424396800000,105,164.75,166.3,164.7,165.35
424483200000,106,165.25,167.9,165.1,167.85
424569600000,107,167.8,169.8,167.7,169.35
424656000000,108,170.95,171.6,170.1,171.45
424915200000,111,171.2,172.3,169.85,170.7
425001600000,112,170.6,173.1,169.75,172.65
425088000000,113,172.9,173.85,171.6,171.75
425174400000,114,172,172.8,171.05,172
425260800000,115,171.6,172.3,171,171.2
425520000000,118,171,171.15,169,169.55
425606400000,119,170.25,170.4,167.1,167.45
425692800000,120,167.4,169.4,167,168.9
425779200000,121,169.65,170.2,169.1,170.15
425865600000,122,170.3,170.75,169.55,170.25
426211200000,126,167.75,168,166.55,167.55
426297600000,127,167.95,169.85,167.4,169.8
426384000000,128,169,171.4,167.8,168.05
426470400000,129,168.4,168.9,167.45,168.3
426729600000,132,168.9,169.8,168.5,168.9
426816000000,133,168.7,168.8,166.15,166.2
426902400000,134,166.7,167.2,165.9,166.8
426988800000,135,167.65,168.45,166.7,167.1
427075200000,136,166.75,166.75,164.65,165.15
427334400000,139,165.4,166.2,164.7,165.45
427420800000,140,165.85,166.8,165.75,166.35
427507200000,141,167.65,170.4,167.55,170.35
427593600000,142,170.1,171.5,169.45,171
427680000000,143,170.5,170.9,169.8,170.05
427939200000,146,169.55,172.1,169.3,171.15
428025600000,147,171.15,172.45,170.4,171.4
428112000000,148,171.85,172.25,168,168.5
428198400000,149,168.5,168.85,165.55,165.65
428284800000,150,165.2,165.4,162.45,163.7
428544000000,153,163.5,164.05,162.2,163.1
428630400000,154,163.75,164.55,162.65,163.05
428716800000,155,163,164.85,162.3,164.35
428803200000,156,163.75,164.15,159.8,161.45
428889600000,157,161.75,163.1,161.05,162.75
429148800000,160,161.95,161.95,160.25,160.55
429235200000,161,161.15,161.8,159.25,161.45
429321600000,162,161.2,163.4,160.5,162.6
429408000000,163,163.25,163.4,162.15,162.6
429494400000,164,162.9,163.6,162.7,163.4
429753600000,167,164.25,165.7,164.2,164.4
429840000000,168,164.6,164.95,163.2,164.15
429926400000,169,164.45,166.25,164.25,165.65
430012800000,170,166.05,166.25,163.5,163.65
430099200000,171,163.7,165,163.25,164.85
430358400000,174,166,166.35,164.15,164.35
430444800000,175,164.5,164.5,162.65,163
430531200000,176,163.25,163.9,161.2,161.35
430617600000,177,161.85,162.1,160.3,161.55
430704000000,178,161,162.95,160.85,162.6
430963200000,181,161.4,163.3,161.1,163.2
431049600000,182,163.05,163.95,162.4,163.15
431136000000,183,163.05,165.1,162.8,164.95
431222400000,184,165.4,165.45,164.2,164.75
431308800000,185,164.6,165.45,164.5,165.35
431654400000,189,166.55,168.45,166.45,168.35
431740800000,190,168.4,168.95,167.6,168.65
431827200000,191,168.3,168.9,167.8,168.15
431913600000,192,168.3,168.4,167,167.05
432172800000,195,169.1,169.4,165.1,165.15
432259200000,196,165.25,165.4,164.4,165.15
432345600000,197,164.9,165.75,164.65,165.5
432432000000,198,165.7,165.8,164.38,164.38
432518400000,199,166.65,169.2,166.65,168.95
432777600000,202,169.55,170.7,169,170.15
432864000000,203,170.75,171.65,170.6,171.25
432950400000,204,171.2,171.65,169.95,170.75
433036800000,205,170.35,172.25,170.15,171.7
433123200000,206,172,172.1,170.95,171.4
433382400000,209,171.85,172.6,170.85,171.5
433468800000,210,171.2,171.35,169.5,170.4
433555200000,211,170.2,170.4,169.5,170
433641600000,212,169.7,170.15,169.15,169.4
433728000000,213,169.6,169.6,168.1,168.25
433987200000,216,167.75,168.5,167.3,168.45
434073600000,217,168.45,169.3,168.25,168.5
434160000000,218,168.9,170.15,168.15,170.1
434246400000,219,170.1,172.05,170,171.95
