"Date","Days","Open","High","Low","Settle"
730944000000,0,160.7,161.5,160.5,160.95
731030400000,1,162.15,162.15,162.15,162.15
731116800000,2,162.55,164.1,162.55,164
731203200000,3,162.75,162.75,162.75,162.75
731289600000,4,162.5,164,162.5,163.05
731548800000,7,163.25,165.1,163.2,164.85
731635200000,8,164.8,165.45,164.6,164.6
731721600000,9,164.75,165.7,164.1,165.5
731808000000,10,165.6,166.5,164.8,164.8
731894400000,11,164.1,164.3,162.45,164
732153600000,14,164.2,164.75,163.9,164.6
732240000000,15,164.5,164.85,164.1,164.2
732326400000,16,164.4,164.4,162.65,162.75
732412800000,17,163.2,164.1,163.15,163.95
732499200000,18,163.8,164.65,163,163
732758400000,21,162.9,162.9,162.9,162.9
732844800000,22,162.5,162.5,162.5,162.5
732931200000,23,161.6,161.6,161.6,161.6
733017600000,24,163.2,163.2,163.2,163.2
733104000000,25,163.2,163.2,163.2,163.2
733363200000,28,164.05,164.05,164.05,164.05
733449600000,29,164.6,164.6,164.6,164.6
733536000000,30,165.6,165.6,165.5,165.5
733622400000,31,164.5,164.6,164.5,164.5
733708800000,32,160.9,161.2,160.9,161.2
733968000000,35,161.5,161.5,161.5,161.5
734054400000,36,160.5,160.5,160.2,160.3
734140800000,37,160.85,160.85,160.85,160.85
734227200000,38,159.9,159.9,159.9,159.9
734572800000,42,162.1,162.1,162.1,162.1
734659200000,43,163.4,163.8,163.25,163.35
734745600000,44,163.2,163.75,163.2,163.75
734832000000,45,162.9,162.9,162.5,162.8
734918400000,46,162.2,162.2,162,162
735177600000,49,161.3,161.3,161.3,161.3
735264000000,50,161.2,161.2,160,161.05
735350400000,51,161.05,161.05,161.05,161.05
735436800000,52,160.3,160.3,160.3,160.3
735523200000,53,159.45,159.45,159.45,159.45
735782400000,56,157,157,157,157
735868800000,57,159,159,158.65,158.65
735955200000,58,159.1,159.1,159.1,159.1
736041600000,59,160.2,160.2,158.85,160.1
736128000000,60,160.35,160.35,160.35,160.35
736387200000,63,162.6,162.6,162.6,162.6
736473600000,64,163.4,164.4,163.4,163.9
736560000000,65,165.4,165.4,165,165
736646400000,66,164.3,164.3,164.3,164.3
736732800000,67,163.75,163.8,163.7,163.8
736992000000,70,165,165,165,165
737078400000,71,165.5,165.5,164.5,165.3
737164800000,72,165.2,165.25,165,165.15
737251200000,73,164.2,164.2,163,163.2
737337600000,74,163.2,163.2,163.2,163.2
737596800000,77,162.6,163.2,162.5,163.1
737683200000,78,163.3,163.5,163,163.2
737769600000,79,165.3,165.45,162.2,165.45
737856000000,80,166.9,166.9,166.9,166.9
737942400000,81,166,167.1,165.9,165.9
738201600000,84,166.6,166.6,166.6,166.6
738288000000,85,167.35,167.35,167.35,167.35
738374400000,86,169.3,169.3,169.3,169.3
738460800000,87,169,169.35,168.4,168.4
738547200000,88,168.3,168.3,166.4,168.15
738892800000,92,168.25,169.55,168.2,169.2
738979200000,93,169.15,169.15,168.1,168.6
739065600000,94,168.2,168.2,167.4,167.85
739152000000,95,167,167.1,165.8,166
739411200000,98,166.2,166.2,164.1,164.3
739497600000,99,164.05,164.2,162.75,162.8
739584000000,100,162.7,164.15,162.7,163.85
739670400000,101,163.9,164,162.6,163.05
739756800000,102,163.7,164.3,163.55,164.2
740016000000,105,164.1,164.6,164,164.5
740102400000,106,164.5,165.1,164.5,164.8
740188800000,107,164.8,165,164.15,164.9
740275200000,108,165.05,165.9,165,165.65
740361600000,109,165.1,165.1,165.1,165.1
740620800000,112,165.65,165.65,165.65,165.65
740707200000,113,165.5,165.5,165.25,165.25
740793600000,114,164.6,164.6,164.6,164.6
740880000000,115,165.25,166.1,165.25,166.1
740966400000,116,166.8,166.8,166.8,166.8
741225600000,119,169.1,169.1,169.1,169.1
741312000000,120,168.95,168.95,168.95,168.95
741398400000,121,169.6,169.6,169.6,169.6
741484800000,122,169.25,169.25,169.25,169.25
741571200000,123,168.55,168.55,168.55,168.55
741916800000,127,168.2,168.2,168.2,168.2
742003200000,128,167.6,167.6,167.5,167.5
742089600000,129,168.75,168.75,168.75,168.75
742176000000,130,168.7,168.85,168.45,168.6
742435200000,133,168.8,168.8,168.8,168.8
742521600000,134,168.5,169,168.5,168.5
742608000000,135,168.5,168.5,168.5,168.5
742694400000,136,168.2,168.2,168.2,168.2
742780800000,137,167,167,166.7,167
743040000000,140,166.3,166.3,166.3,166.3
743126400000,141,166.7,166.7,166.7,166.7
743212800000,142,166.3,166.3,166.3,166.3
743299200000,143,165.4,165.4,165.4,165.4
743385600000,144,166.25,166.25,166.25,166.25
743644800000,147,167.75,167.75,167.75,167.75
743731200000,148,167.8,168.35,167.1,167.4
743817600000,149,168,168,168,168
743904000000,150,168.9,168.9,168.9,168.9
743990400000,151,168.4,168.4,168.4,168.4
744249600000,154,169.25,169.25,169.25,169.25
744336000000,155,169.75,169.8,169.65,169.65
744422400000,156,169.9,169.9,169.9,169.9
744508800000,157,169.85,169.85,169.85,169.85
744595200000,158,170.3,170.3,170.2,170.2
744854400000,161,171.15,171.15,171.15,171.15
744940800000,162,171.3,171.3,171.3,171.3
745027200000,163,171,171,171,171
745113600000,164,170.45,170.45,170.45,170.45
745200000000,165,170.45,170.45,170.45,170.45
745459200000,168,171.75,171.75,171.75,171.75
745545600000,169,173,173,173,173
745632000000,170,174.3,174.3,173.8,173.95
745718400000,171,173.55,173.55,173.55,173.55
745804800000,172,173.55,173.55,173.55,173.55
746064000000,175,173.8,173.9,173.35,173.7
746150400000,176,173.7,175.2,173.7,175
746236800000,177,175.05,175.05,175.05,175.05
746323200000,178,174.4,174.5,173.5,173.9
746409600000,179,173.5,174.1,173.4,173.85
746668800000,182,174.3,174.9,174.3,174.75
746755200000,183,174.65,175.2,174.45,174.8
746928000000,185,175.8,175.8,174.65,174.65
747014400000,186,174.5,175,174.3,174.95
747360000000,190,174.2,174.4,172.3,172.3
747446400000,191,172.3,172.3,169.4,170.45
747532800000,192,170.3,172,170.2,172
747619200000,193,172.05,173.9,172,173.6
747878400000,196,174,174.4,172.85,173
747964800000,197,172.6,172.6,170.75,171.2
748051200000,198,170.7,172.15,170.45,171.9
748137600000,199,171.5,172.6,171.4,172.6
748224000000,200,173.3,173.3,172.7,172.9
748483200000,203,171.8,171.8,171.8,171.8
748569600000,204,171.05,171.05,171.05,171.05
748656000000,205,173.7,173.7,173.7,173.7
748742400000,206,175.2,175.2,174.9,174.9
748828800000,207,175.65,175.65,175.65,175.65
749088000000,210,176.85,176.85,176.85,176.85
749174400000,211,177.1,177.25,176.75,177.25
749260800000,212,176.65,176.65,176.65,176.65
749347200000,213,176.25,176.25,176.25,176.25
749433600000,214,176.8,176.8,176.8,176.8
749692800000,217,177.45,177.45,177.45,177.45
749779200000,218,176.7,176.7,176.7,176.7
749865600000,219,176.7,177.4,176.7,176.85
749952000000,220,175.8,175.8,175.8,175.8
750038400000,221,175.85,175.9,174.6,175.8
750297600000,224,176.45,176.45,176.45,176.45
750384000000,225,177.9,177.9,177.7,177.75
750470400000,226,178.15,178.15,178.15,178.15
750556800000,227,179.55,179.55,179.55,179.55
750643200000,228,179.45,179.45,179.45,179.45
750902400000,231,178.3,178.3,178.3,178.3
750988800000,232,175.3,175.3,175.3,175.3
751161600000,234,174.95,175,174.2,175
751248000000,235,175.7,176.1,174.4,174.5
751507200000,238,174.6,174.6,174.6,174.6
751593600000,239,174.45,174.6,174.2,174.55
751680000000,240,174.7,175.75,174.7,175.75
751766400000,241,175.9,176.3,175.9,175.9
751852800000,242,176.75,176.75,176.75,176.75
752112000000,245,177.3,177.3,177.3,177.3
752198400000,246,176.3,176.9,176.2,176.6
752284800000,247,173.9,173.9,173.45,173.45
752371200000,248,173.35,173.35,171.2,171.5
752457600000,249,171.5,172.35,170.4,172.35
752716800000,252,174.3,174.4,173.9,174
752803200000,253,175.55,175.55,174.2,174.4
752889600000,254,174,176.2,174,176.2
752976000000,255,176.1,176.45,175.55,175.75
753062400000,256,176.5,177.5,176.3,177.2
753321600000,259,175.9,175.9,175.3,175.35
753408000000,260,174.75,176.2,174.75,176.1
753494400000,261,175,175.3,173.7,173.7
753580800000,262,173.5,173.5,173,173.2
753667200000,263,173.1,173.3,172.5,172.85
753926400000,266,172.35,172.35,170.2,170.2
754012800000,267,170.9,172.05,170.55,172.05
754099200000,268,172.3,173.2,172.3,173.1
754272000000,270,173.5,173.6,173.5,173.5
754531200000,273,173.8,174.4,172.4,172.45
754617600000,274,172.7,172.8,172.1,172.2
754704000000,275,173.65,175.05,173.4,174.85
754790400000,276,175,175.35,174.2,174.85
754876800000,277,175.4,176.35,175.25,176.15
755136000000,280,176.7,177.1,175.6,176.95
755222400000,281,176.8,176.9,176.2,176.4
755308800000,282,176.1,176.3,175.9,176.05
755395200000,283,176.2,176.3,174.7,174.75
755481600000,284,174.7,175.15,173.95,174.6
755740800000,287,174.5,175.6,174.15,175.55
755827200000,288,175.5,175.5,173.5,173.65
755913600000,289,173.8,174.7,173.8,174
756000000000,290,174.5,175.05,174.1,174.6
756086400000,291,176.9,177.1,176.9,177.05
756345600000,294,176.9,177.6,176.6,176.7
756432000000,295,176,176,176,176
756518400000,296,176.55,176.55,176.55,176.55
756604800000,297,177.45,177.45,177.45,177.45
756950400000,301,178.6,178.6,178.6,178.6
757036800000,302,179.1,179.7,179.1,179.7
757123200000,303,180.6,180.6,180.2,180.2
757209600000,304,179.75,179.75,179.75,179.75
757296000000,305,180.05,180.05,180.05,180.05
757555200000,308,178.9,178.9,178.9,178.9
757641600000,309,179.4,179.5,178.8,179.3
757728000000,310,178.9,179.5,178.9,179.5
757814400000,311,178.9,178.9,178.9,178.9
757900800000,312,180.25,180.25,180.25,180.25
758160000000,315,181.15,181.15,181.15,181.15
758246400000,316,179.8,180.25,179.8,180.25
758332800000,317,179.75,180.5,179.7,180
758419200000,318,180.4,180.5,179.9,180.45
